row,task_for,seg_id,stname,lanes,divided_roadway,bike_lane_type_simple,parking,sidewalk_status,check_year,curb_to_curb_width,traffic_lanes_width,shoulder_width,notes
1,Christine,1160150,TREVOSE RD,2,FALSE,None,None,One side,,23,23,0,
2,Christine,1080333,BYBERRY RD,3,FALSE,None,None,Both sides,,36,24,12,
3,Christine,960571,ALBURGER AVE,2,FALSE,None,Both sides,Both sides,,40,20,0,parking change to Both sides
4,Christine,960582,WELSH RD,4,FALSE,None,None,None,,52,32,20,
5,Christine,960879,VERREE RD,2,FALSE,Painted,None,Both sides,,54,25,0,
6,Christine,800095,GERMANTOWN AVE,2,FALSE,None,Both sides,Both sides,,38,20,18,
7,Christine,800070,BETHLEHEM PIKE,1,FALSE,None,None,None,,27,15,12,
8,Christine,800083,STENTON AVE,5,FALSE,None,None,Both sides,,51,51,0,
9,Christine,821048,IVY HILL RD,2,FALSE,None,Both sides,One side,,44,22,0,
10,Christine,940003,PINE RD,2,FALSE,None,Both sides,Both sides,,38,23,0,
11,Christine,960611,BENTON AVE,3,FALSE,None,Both sides,One side,,52,34,0,
12,Christine,960304,OLD BUSTLETON AVE,2,FALSE,None,Both sides,Both sides,,36,20,0,
13,Christine,960308,WINCHESTER AVE,2,FALSE,None,None,One side,,44,44,0,
14,Christine,700040,RIDGE AVE,6,TRUE,Painted,Both sides,Both sides,,72,62,10,
15,Christine,800269,SAINT MARTINS LN,2,FALSE,None,None,Both sides,,28,20,0,
16,Christine,800237,W WILLOW GROVE AVE,2,FALSE,None,Both sides,Both sides,,35,35,0,
17,Christine,820085,THOURON AVE,2,FALSE,None,Both sides,Both sides,,42,26,0,
18,Christine,821657,E WASHINGTON LN,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
19,Christine,860166,RHAWN ST,2,FALSE,None,Both sides,Both sides,,40,25,0,
20,Christine,700327,RIDGE AVE,1,TRUE,Painted,One side,One side,,25,10,9,
21,Christine,700010,HAGYS MILL RD,2,FALSE,None,None,None,,20,20,0,
22,Christine,700014,RIDGE AVE,2,FALSE,Sharrow,Both sides,Both sides,,36,24,12,
23,Christine,722114,W ALLENS LN,2,FALSE,None,Both sides,One side,,32,20,0,
24,Christine,720571,E MOUNT AIRY AVE,2,FALSE,None,One side,Both sides,,31,22,0,
25,Christine,720560,CHEW AVE,2,FALSE,None,Both sides,Both sides,,40,20,0,
26,Christine,720558,CHEW AVE,2,FALSE,None,Both sides,Both sides,,40,20,0,
27,Christine,820028,E MOUNT PLEASANT AVE,2,FALSE,None,Both sides,Both sides,,36,36,0,
28,Christine,820607,E WASHINGTON LN,2,FALSE,Painted,Both sides,Both sides,,45,20,0,
29,Christine,840320,RISING SUN AVE,2,TRUE,Painted,Both sides,Both sides,,44,20,0,
30,Christine,861851,HOLME AVE,4,TRUE,None,One side,Both sides,,112,40,0,
31,Christine,880163,FRANKFORD AVE,3,FALSE,Sharrow,Both sides,Both sides,,50,34,0,
32,Christine,700124,RIDGE AVE,2,FALSE,Sharrow,Both sides,Both sides,,38,20,0,
33,Christine,700143,VALLEY AVE,2,FALSE,Sharrow,Both sides,Both sides,,40,22,0,
34,Christine,720209,MC CALLUM ST,2,FALSE,None,Both sides,Both sides,,32,32,0,
35,Christine,720170,LINCOLN DR,3,FALSE,None,Both sides,Both sides,,54,34,0,
36,Christine,721746,E WASHINGTON LN,2,FALSE,None,One side,Both sides,,30,24,0,
37,Christine,720696,E CLIVEDEN ST,1,FALSE,None,Both sides,Both sides,,30,16,0,
38,Christine,720089,E WASHINGTON LN,2,FALSE,None,Both sides,Both sides,,40,18,4,
39,Christine,720697,CHEW AVE,2,FALSE,None,Both sides,Both sides,,40,22,0,
40,Christine,720046,CHEW AVE,2,FALSE,None,Both sides,Both sides,,40,22,0,
41,Christine,721206,E CHELTEN AVE,2,FALSE,Painted,Both sides,Both sides,,48,22,0,
42,Christine,741556,66TH AVE,2,FALSE,Painted,Both sides,Both sides,,50,20,0,
43,Christine,740377,W GODFREY AVE,2,FALSE,Painted,Both sides,Both sides,,50,22,4,
44,Christine,840134,RISING SUN AVE,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
45,Christine,740191,LEVICK ST,2,FALSE,None,Both sides,Both sides,,34,20,0,
46,Christine,861372,ALGON AVE,2,FALSE,None,Both sides,Both sides,,52,34,0,
47,Christine,861073,ROWLAND AVE,2,FALSE,None,Both sides,Both sides,,35,22,0,
48,Christine,880399,FRANKFORD AVE,3,FALSE,None,None,Both sides,,48,32,0,
49,Christine,880044,STATE RD,2,TRUE,Painted,Both sides,Both sides,,61,32,6,
50,Christine,600691,UMBRIA ST,2,FALSE,Painted,None,None,,42,32,0,
51,Christine,700001,HENRY AVE,4,TRUE,Painted,None,None,,56,40,0,
52,Christine,720314,W CLIVEDEN ST,2,FALSE,Painted,Both sides,Both sides,,50,20,4,
53,Christine,720041,W RITTENHOUSE ST,2,FALSE,Sharrow,One side,Both sides,,24,16,0,
54,Christine,720481,W WASHINGTON LN,2,FALSE,None,One side,Both sides,,30,22,0,
55,Christine,720482,MC CALLUM ST,2,FALSE,None,Both sides,Both sides,,30,16,0,
56,Christine,720519,MC CALLUM ST,2,FALSE,None,Both sides,Both sides,,32,16,0,
57,Christine,720511,HARVEY ST,2,FALSE,None,One side,Both sides,,24,16,0,
58,Christine,720864,E CHELTEN AVE,2,FALSE,Painted,Both sides,Both sides,,50,22,0,
59,Christine,720061,BAYNTON ST,2,FALSE,None,One side,Both sides,,32,24,0,
60,Christine,720950,E ARMAT ST,2,FALSE,None,One side,Both sides,,30,24,0,
61,Christine,722196,W OLNEY AVE,2,FALSE,Painted,Both sides,Both sides,,54,22,0,
62,Christine,722205,N 20TH ST,1,FALSE,Painted,None,Both sides,,18,12,0,
63,Christine,721551,W OLNEY AVE,2,FALSE,Painted,Both sides,Both sides,,55,20,0,
64,Christine,740031,W NEDRO AVE,2,FALSE,Painted,Both sides,Both sides,,36,20,0,
65,Christine,742394,N 11TH ST,2,FALSE,None,Both sides,Both sides,,36,22,0,
66,Christine,740048,W OLNEY AVE,2,FALSE,Sharrow,Both sides,Both sides,,38,22,0,
67,Christine,740804,W OLNEY AVE,2,FALSE,Sharrow,Both sides,Both sides,,38,22,0,
68,Christine,740025,E GODFREY AVE,2,TRUE,Painted,Both sides,One side,,66,30,0,
69,Christine,740580,W CHAMPLOST AVE,2,FALSE,None,Both sides,Both sides,,42,26,0,
70,Christine,742891,RISING SUN AVE,2,FALSE,Painted,None,Both sides,,45,21,0,
71,Christine,741712,TABOR AVE,2,FALSE,Painted,Both sides,Both sides,,50,24,0,
72,Christine,740646,TABOR AVE,2,FALSE,Painted,Both sides,Both sides,2022,50,30,3,
73,Christine,760019,LEVICK ST,2,TRUE,None,Both sides,Both sides,,48,20,0,
74,Christine,763368,TORRESDALE AVE,2,FALSE,Painted,Both sides,Both sides,,48,22,0,
75,Christine,861114,RHAWN ST,2,FALSE,None,Both sides,Both sides,,36,20,0,
76,Christine,760126,RHAWN ST,2,FALSE,None,Both sides,Both sides,,36,20,0,
77,Christine,861108,FRANKFORD AVE,3,FALSE,None,Both sides,Both sides,,46,32,0,
78,Christine,600013,UMBRIA ST,2,FALSE,Painted,Both sides,Both sides,,54,22,0,
79,Christine,600058,RIDGE AVE,2,FALSE,Sharrow,Both sides,Both sides,,36,20,0,
80,Christine,600174,RIDGE AVE,2,FALSE,Sharrow,One side,Both sides,,36,20,0,
81,Christine,600448,WALNUT LN,2,FALSE,None,None,Both sides,,46,33,13,
82,Christine,720320,WISSAHICKON AVE,2,FALSE,None,Both sides,One side,,42,21,0,
83,Christine,621001,WISSAHICKON AVE,3,FALSE,None,None,One side,,34,34,0,
84,Christine,620753,WAYNE AVE,2,FALSE,Sharrow,Both sides,Both sides,,40,24,0,
85,Christine,621327,W COULTER ST,2,FALSE,None,One side,One side,,30,30,0,
86,Christine,722188,W WALNUT LN,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
87,Christine,720499,GREENE ST,2,FALSE,None,One side,Both sides,,29,20,0,
88,Christine,620881,PULASKI AVE,2,FALSE,None,Both sides,Both sides,,36,20,0,
89,Christine,620668,WAYNE AVE,2,FALSE,Sharrow,Both sides,Both sides,,40,24,0,
90,Christine,620773,W QUEEN LN,2,FALSE,None,Both sides,Both sides,,30,16,0,
91,Christine,721658,W ARMAT ST,2,FALSE,None,Both sides,Both sides,,34,20,0,
92,Christine,640037,N 5TH ST,2,FALSE,Painted,Both sides,Both sides,,50,24,0,
93,Christine,740065,N 5TH ST,2,FALSE,Painted,Both sides,Both sides,,50,24,0,
94,Christine,741813,E ASHDALE ST,2,FALSE,Painted,Both sides,Both sides,,50,20,6,
95,Christine,740897,RISING SUN AVE,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
96,Christine,740059,SUMMERDALE AVE,2,FALSE,Painted,Both sides,Both sides,,50,22,0,
97,Christine,761666,BENNER ST,2,FALSE,None,Both sides,Both sides,,38,22,0,
98,Christine,761537,BROUS AVE,2,FALSE,None,Both sides,Both sides,,50,40,0,
99,Christine,761221,COMLY ST,2,FALSE,None,One side,Both sides,,38,20,0,
100,Christine,762160,ROBBINS ST,2,FALSE,None,Both sides,Both sides,,36,20,0,
101,Christine,761157,LEVICK ST,3,FALSE,None,None,Both sides,,34,34,0,
102,Christine,761000,PRINCETON AVE,2,FALSE,Painted,Both sides,Both sides,,32,20,0,
103,Christine,760980,PRINCETON AVE,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
104,Christine,760152,TORRESDALE AVE,2,FALSE,Painted,Both sides,Both sides,,48,22,0,
105,Christine,760950,COTTMAN AVE,4,FALSE,None,Both sides,Both sides,,60,44,0,
106,Christine,600312,MAIN ST,2,FALSE,Sharrow,Both sides,Both sides,,27,20,0,
107,Christine,621047,RIDGE AVE,2,FALSE,Sharrow,Both sides,Both sides,,38,20,0,
108,Christine,621040,HERMIT ST,2,FALSE,None,None,Both sides,,30,22,0,
109,Christine,600673,SHURS LN,2,FALSE,None,One side,Both sides,,26,19,0,
110,Christine,621502,W SCHOOL HOUSE LN,2,FALSE,None,One side,Both sides,,30,28,2,
111,Christine,620874,WISSAHICKON AVE,2,FALSE,None,One side,Both sides,,30,22,0,
112,Christine,620986,MIDVALE AVE,2,FALSE,Sharrow,Both sides,Both sides,,39,24,0,
225,Christine,520516,W OXFORD ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
226,Christine,522400,CECIL B MOORE AVE,2,FALSE,None,Both sides,Both sides,,32,18,0,
227,Christine,542957,N 13TH ST,1,FALSE,Separated,Both sides,Both sides,,40,21,4,
228,Christine,521296,MASTER ST,1,FALSE,None,Both sides,Both sides,,25,12,0,
229,Christine,520592,N 18TH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
230,Christine,520473,CECIL B MOORE AVE,2,FALSE,None,Both sides,Both sides,,34,20,0,
231,Christine,521014,DIAMOND ST,2,FALSE,None,Both sides,Both sides,,40,28,0,
232,Christine,542054,DIAMOND ST,1,FALSE,None,Both sides,Both sides,,25,12,0,
233,Christine,542563,N 6TH ST,1,FALSE,None,Both sides,Both sides,,27,10,0,
234,Christine,541871,W SUSQUEHANNA AVE,2,FALSE,None,None,Both sides,,35,35,0,
235,Christine,541797,W DAUPHIN ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
236,Christine,542267,E DAUPHIN ST,1,FALSE,None,Both sides,Both sides,,27,10,0,
237,Christine,542323,FRANKFORD AVE,2,FALSE,None,Both sides,Both sides,,36,20,0,
238,Christine,542749,E NORRIS ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
239,Christine,543093,E NORRIS ST,2,FALSE,None,Both sides,Both sides,,34,16,0,
240,Christine,560012,N DELAWARE AVE,2,FALSE,None,Both sides,None,,52,24,0,
241,Christine,542294,BATH ST,2,FALSE,None,None,One side,,31,31,0,
242,Christine,542603,E ALLEGHENY AVE,2,FALSE,None,Both sides,One side,,50,24,26,
243,Christine,560102,N DELAWARE AVE,2,FALSE,None,None,None,,53,45,0,
244,Christine,400839,LANSDOWNE AVE,2,FALSE,Painted,None,Both sides,,38,22,0,
245,Christine,401511,N 63RD ST,4,FALSE,None,Both sides,Both sides,,60,44,0,
246,Christine,401637,HAVERFORD AVE,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
247,Christine,400394,HAVERFORD AVE,2,TRUE,Painted,Both sides,Both sides,,66,26,0,
248,Christine,420400,MANTUA AVE,1,FALSE,None,Both sides,Both sides,,32,16,0,
249,Christine,420129,POPLAR DR,3,FALSE,Painted,None,One side,,42,32,0,
250,Christine,421783,N 25TH ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
251,Christine,422012,PENNSYLVANIA AVE,1,FALSE,None,Both sides,Both sides,,30,20,0,
252,Christine,421790,FAIRMOUNT AVE,2,FALSE,Painted,Both sides,Both sides,,48,22,0,
